PGC,OBJNAME,V,V_VIR,MOD,MOD_ERR,D,D_ERR
11421,UGC02483,6223.0,6264.2149100834185,34.6224,0.244735,84.0373,9.47139
3664,UGC00633,5576.4,5666.881143558986,34.6228,0.385145,84.0546,14.9084
55835,UGC09988,6951.6,7238.53040793249,34.6243,0.0256038,84.1118,0.991762
37614,UGC06934,5501.4,5519.464365350082,34.6245,0.237724,84.1218,9.20932
55689,ESO515-003,5767.7,5786.294185425494,34.6254,0.290116,84.1559,11.2435
59333,UGC10641,5523.9,5839.163580671219,34.6257,0.256412,84.1657,9.93845
91778,PGC091778,5927.0,5965.755860436024,34.6257,0.252982,84.1647,9.80541
68320,IC1435,5275.4,5211.3055316089085,34.6264,0.297129,84.1939,11.5205
23355,UGC04332,5521.5,5521.681831708507,34.6265,0.532886,84.1981,20.6625
13884,UGC02868,5425.6,5472.07689556855,34.6266,0.325711,84.203,12.6301
46754,NGC5115,7291.5,7432.879292172855,34.6275,0.275845,84.2367,10.7007
27665,IC0552,5788.5,5777.5747346703965,34.6281,0.441538,84.2584,17.1328
63678,ESO526-006,6412.2,6411.95022444252,34.6285,0.246669,84.2734,9.57307
35927,PGC035927,5032.3,4980.266151379155,34.629,0.251176,84.2929,9.75021
4915,NGC0477,5858.4,5981.111505613195,34.6297,0.230368,84.3232,8.94571
3610,NGC0340,6116.4,6020.006608000744,34.63,0.4,84.3335,15.5348
3700,PGC003700,4281.0,4375.511217460234,34.63,0.25,84.3335,9.70925
6666,IC0164,5208.4,5098.748019805304,34.63,0.47,84.3335,18.2534
12826,NGC1329,4371.0,4160.997709736128,34.63,0.49,84.3335,19.0301
20136,NGC2320,5903.4,6032.11731244974,34.63,0.4,84.3335,15.5348
24786,PGC024786,7685.2,7710.511176338782,34.63,0.46,84.3335,17.865
38192,PGC038192,6904.1,6976.698754316132,34.63,0.2,84.3335,7.7674
42845,NGC4622A,4999.1,4858.496926723004,34.63,0.48,84.3335,18.6418
44329,NGC4841B,6258.0,6444.795783063891,34.63,0.23,84.3335,8.93251
53353,PGC053353,4814.5,5088.945084016033,34.63,0.46,84.3335,17.865
62831,ESO397-004,5732.0,5691.249095910475,34.63,0.4,84.3335,15.5348
63753,ESO461-007,6011.8,5971.6552763737245,34.63,0.4,84.3335,15.5348
64826,ESO596-048,8005.2,8010.651539501329,34.63,0.48,84.3335,18.6418
